Epoch,Train Acc,Test Acc
1.0,0.57616,0.2742554357756258
11.0,0.95616,0.8978622327790974
21.0,0.98728,0.9327608258724648
31.0,0.99424,0.9578841585967477
41.0,0.99868,0.9618125342590901
51.0,0.9992,0.9617211766855472
61.0,0.99838,0.9567878677142335
71.0,0.99984,0.9607162433765759
81.0,0.99986,0.9613557463913759
91.0,0.99866,0.9638224008770327
101.0,0.99996,0.9635483281564041
